Product,Brand,description,Price,Offer,Offer_price,Reviews,Free_coupon,Coupon
ETUDE HOUSE  - Dear Darling Oil Tint,ETUDE HOUSE ,Dear Darling Oil Tint,750.0,10,675,469,No,No Gift
Recode Silky  - Matte Liquid Lipstick - Pack Of 10,Recode Silky ,Matte Liquid Lipstick - Pack Of 10,899.0,5,854,2272,No,No Gift
FENTY BEAUTY  - Gloss Bomb Stix High-Shine Gloss Stick,FENTY BEAUTY ,Gloss Bomb Stix High-Shine Gloss Stick,1374.0,0,1374,100,No,No Gift
Smashbox Always  - On Mini Liquid Lipstick,Smashbox Always ,On Mini Liquid Lipstick,1374.0,0,1374,241,No,No Gift
SUGAR POP  - Ultrastay Transferproof Waterproof Lipstick With V...,SUGAR POP ,Ultrastay Transferproof Waterproof Lipstick With V...,229.0,21,180,1011,No,No Gift
MARS Infinity  - Lip Palette with Spatula cum Applicator,MARS Infinity ,Lip Palette with Spatula cum Applicator,349.0,3,338,8896,No,No Gift
Miss Claire  - Soft Matte Lip Cream,Miss Claire ,Soft Matte Lip Cream,1374.0,0,1374,31769,No,No Gift
Nykaa Glow  - All Day Illuminating Strobe Cream + Highlighter +...,Nykaa Glow ,All Day Illuminating Strobe Cream + Highlighter +...,575.0,10,517,291,No,No Gift
Innisfree Dewy  - Tint Lip Balm With Hyaluronic Acid,Innisfree Dewy ,Tint Lip Balm With Hyaluronic Acid,1100.0,10,990,1203,No,No Gift
Kay Beauty  - FullFill Tinted Lip Plumping Gloss,Kay Beauty ,FullFill Tinted Lip Plumping Gloss,1374.0,0,1374,182,No,No Gift
Yves Saint  - Laurent Loveshine Candy Glaze,Yves Saint ,Laurent Loveshine Candy Glaze,1374.0,0,1374,33,No,No Gift
NARS Powermatte  - Lipstick,NARS Powermatte ,Lipstick,1374.0,0,1374,17,No,No Gift
DIOR Rouge  - Lipstick,DIOR Rouge ,Lipstick,1374.0,0,1374,22,No,No Gift
FENTY BEAUTY  - Gloss Bomb Universal Lip Luminizer,FENTY BEAUTY ,Gloss Bomb Universal Lip Luminizer,1374.0,0,1374,358,No,No Gift
ETUDE HOUSE  - Glow Fixing Tint,ETUDE HOUSE ,Glow Fixing Tint,950.0,10,855,1192,No,No Gift
Pilgrim Matte  - Me Up Intense Colour Transferproof & Smudgepro...,Pilgrim Matte ,Me Up Intense Colour Transferproof & Smudgepro...,595.0,5,565,133,No,No Gift
Kay Beauty  - Lip Tint - Honey,Kay Beauty ,Lip Tint - Honey,1374.0,0,1374,4974,No,No Gift
ETUDE HOUSE  - Fixing Tint Mini,ETUDE HOUSE ,Fixing Tint Mini,650.0,10,585,185,No,No Gift
PAT McGRATH  - LABS Satinallure Lipstick,PAT McGRATH ,LABS Satinallure Lipstick,3300.0,15,2805,276,No,Free gift
Cosmetics Lip  - Lip Plumping Gloss,Cosmetics Lip ,Lip Plumping Gloss,1374.0,0,1374,6617,No,No Gift
FAE Beauty  - Re:Define Lip Liner,FAE Beauty ,Re:Define Lip Liner,379.0,5,360,243,No,No Gift
Maybelline New  - York Super Stay Matte Ink 4-in-1 Lip Kit - Vo...,Maybelline New ,York Super Stay Matte Ink 4-in-1 Lip Kit - Vo...,1374.0,0,1374,930,No,No Gift
Colors Queen  - Color Stay Longlasting & Waterproof Matte Lipst...,Colors Queen ,Color Stay Longlasting & Waterproof Matte Lipst...,299.0,9,272,838,No,No Gift
Juicy Chemistry  - Blood Orange & Rosehip Organic Lip Balm - Fo...,Juicy Chemistry ,Blood Orange & Rosehip Organic Lip Balm - Fo...,350.0,15,297,9247,No,No Gift
Too Faced  - Lip Injection Maximum Plump Lip Gloss,Too Faced ,Lip Injection Maximum Plump Lip Gloss,1374.0,0,1374,1358,No,No Gift
Mamaearth Soft  - Matte Long Stay Lipsticks,Mamaearth Soft ,Matte Long Stay Lipsticks,399.0,10,359,10115,No,Free gift
Colorbar Velvet  - Matte Lipstick,Colorbar Velvet ,Matte Lipstick,449.0,20,359,82310,No,Free gift
Miss Claire  - Glimmersticks For Lips,Miss Claire ,Glimmersticks For Lips,65.0,5,61,42768,No,No Gift
Swiss Beauty  - Non Transfer Matte Cat Lip Crayon,Swiss Beauty ,Non Transfer Matte Cat Lip Crayon,299.0,10,269,4642,No,Free gift
PAT McGRATH  - LABS Mattetrance,PAT McGRATH ,LABS Mattetrance,3800.0,15,3230,517,No,Free gift
Love Earth  - Multipot Lip and Cheek Tint,Love Earth ,Multipot Lip and Cheek Tint,599.0,55,269,20383,No,No Gift
Swiss Beauty  - Non-Transfer Matte Lipstick,Swiss Beauty ,Non-Transfer Matte Lipstick,329.0,10,296,8842,No,Free gift
NARS Powermatte  - High Intensity Lip Pencil,NARS Powermatte ,High Intensity Lip Pencil,1374.0,0,1374,7,No,No Gift
MARS Retractable  - Poppins Lipstick,MARS Retractable ,Poppins Lipstick,299.0,3,290,4397,No,No Gift
Renee Cosmetics  - Hot Lips Clear Transparent Lip Gloss,Renee Cosmetics ,Hot Lips Clear Transparent Lip Gloss,250.0,20,200,3890,No,No Gift
"Bobbi Brown  - Crushed Oil Infused Gloss with Hyaluronic Acid, ...",Bobbi Brown ,"Crushed Oil Infused Gloss with Hyaluronic Acid, ...",1374.0,0,1374,735,No,Free gift
Cosmetics Glossy  - Glossy Lip Stain,Cosmetics Glossy ,Glossy Lip Stain,1374.0,0,1374,1791,No,No Gift
NARS Explicit  - Lipstick,NARS Explicit ,Lipstick,1374.0,0,1374,10,No,No Gift
Colorbar Powerkiss  - Vegan Matte Lipcolor,Colorbar Powerkiss ,Vegan Matte Lipcolor,599.0,22,467,6690,No,Free gift
Colorbar Matte  - Me As I Am Lipcolor,Colorbar Matte ,Me As I Am Lipcolor,999.0,22,779,5533,No,Free gift
Lovechild Masaba  - Lip Gelato Tinted Lip Oil,Lovechild Masaba ,Lip Gelato Tinted Lip Oil,1000.0,8,920,265,No,No Gift
Staze 9to9  - Lips Don't Lie Matte + Transferproof Liquid Lipst...,Staze 9to9 ,Lips Don't Lie Matte + Transferproof Liquid Lipst...,289.0,12,254,1543,No,Free gift
Pilgrim Matte  - Me Up! Liquid Lipstick,Pilgrim Matte ,Me Up! Liquid Lipstick,495.0,5,470,1121,No,No Gift
Swiss Beauty  - High Shine Finish Smooth Glide Pure Lustre Lips...,Swiss Beauty ,High Shine Finish Smooth Glide Pure Lustre Lips...,349.0,10,314,50,No,Free gift
MARS Aqua  - Splash Tinted Lip Balm,MARS Aqua ,Splash Tinted Lip Balm,149.0,7,138,3309,No,No Gift
Love Earth  - Non Transfer Crayon Lipstick,Love Earth ,Non Transfer Crayon Lipstick,799.0,55,359,157,No,No Gift
PAC Timeless  - Matte Mini Lipstick,PAC Timeless ,Matte Mini Lipstick,1374.0,0,1374,2262,No,No Gift
Lakme Ultimate  - Glam 4 In 1 Lip Stack,Lakme Ultimate ,Glam 4 In 1 Lip Stack,499.0,10,449,873,No,No Gift
Nykaa Cosmetics  - Sealed with a Kiss! Lipstick Palette,Nykaa Cosmetics ,Sealed with a Kiss! Lipstick Palette,749.0,30,524,9421,No,No Gift
DIOR Addict  - Lip Tint,DIOR Addict ,Lip Tint,1374.0,0,1374,334,No,No Gift
Swiss Beauty  - Two In One Lip Liner & Lip Filler,Swiss Beauty ,Two In One Lip Liner & Lip Filler,229.0,5,217,4964,No,Free gift
MARS Matte  - Muse Mousse Lipstick,MARS Matte ,Muse Mousse Lipstick,299.0,7,278,71,No,No Gift
KIRO Slickstick  - Luxe Matte lipstick,KIRO Slickstick ,Luxe Matte lipstick,1000.0,5,950,162,No,No Gift
Parul Garg  - Beauty Featherlite Matte Liquid Lipstick,Parul Garg ,Beauty Featherlite Matte Liquid Lipstick,1374.0,0,1374,694,No,Free gift
SUGAR Smudge  - Me Not Liquid Lipstick,SUGAR Smudge ,Me Not Liquid Lipstick,499.0,40,299,26498,No,Free gift
SUGAR Mousse  - Muse Maskproof Lip Cream,SUGAR Mousse ,Muse Maskproof Lip Cream,599.0,5,569,1131,No,Free gift
Anastasia Beverly  - Hills Satin Lipstick,Anastasia Beverly ,Hills Satin Lipstick,2600.0,25,1950,286,No,No Gift
Yves Saint  - Laurent Loveshine Lipstick,Yves Saint ,Laurent Loveshine Lipstick,1374.0,0,1374,35,No,No Gift
Charlotte Tilbury  - Lip Lustre,Charlotte Tilbury ,Lip Lustre,1374.0,0,1374,377,No,Free gift
NARS Air  - Matte Lip Color,NARS Air ,Matte Lip Color,1374.0,0,1374,9,No,No Gift
LAMEL All  - In One Lip Tinted Plumping Oil,LAMEL All ,In One Lip Tinted Plumping Oil,450.0,5,427,2877,No,No Gift
Blue Heaven  - Hyperstay Weighless Liquid Matte,Blue Heaven ,Hyperstay Weighless Liquid Matte,135.0,10,121,18702,No,No Gift
SUGAR Lipping  - On The Edge Lip Liner With Free Sharpener,SUGAR Lipping ,On The Edge Lip Liner With Free Sharpener,525.0,13,456,4713,No,Free gift
